travel_time,crowd_level,venues_visited,w_travel,w_crowd,w_venues,is_pareto_optimal
52,-0.25,3,0.1,0.1,-1.0,True
16,0.0,3,0.1,0.1,-20.5,True
45,-0.05555555555555555,3,0.1,0.1,-40.0,True
52,-0.25,3,0.1,0.55,-1.0,True
16,0.0,3,0.1,0.55,-20.5,True
52,-0.25,3,0.1,0.55,-40.0,True
45,-0.05555555555555555,3,0.1,1.0,-1.0,True
52,-0.25,3,0.1,1.0,-20.5,True
52,-0.25,3,0.1,1.0,-40.0,True
16,0.0,3,0.55,0.1,-1.0,True
52,-0.25,3,0.55,0.1,-20.5,True
45,-0.05555555555555555,3,0.55,0.1,-40.0,True
52,-0.25,3,0.55,0.55,-1.0,True
52,-0.25,3,0.55,0.55,-20.5,True
16,0.0,3,0.55,0.55,-40.0,True
16,0.0,3,0.55,1.0,-1.0,True
16,0.0,3,0.55,1.0,-20.5,True
52,-0.25,3,0.55,1.0,-40.0,True
16,0.0,3,1.0,0.1,-1.0,True
52,-0.25,3,1.0,0.1,-20.5,True
16,0.0,3,1.0,0.1,-40.0,True
16,0.0,3,1.0,0.55,-1.0,True
16,0.0,3,1.0,0.55,-20.5,True
16,0.0,3,1.0,0.55,-40.0,True
16,0.0,3,1.0,1.0,-1.0,True
16,0.0,3,1.0,1.0,-20.5,True
45,-0.05555555555555555,3,1.0,1.0,-40.0,True
